id,lon,lat,time,FOR_CODE,FOR_TYPE,FOR_CAT,COVER,HEIGHT,FOREST,rf,arf7,arf14,arf28,arf60,arf90,arf180,arf360,arf720,se,ase7,ase14,ase28,ase60,ase90,ase180,ase360,ase720,maxt,amaxt7,amaxt14,amaxt28,amaxt60,amaxt90,amaxt180,amaxt360,amaxt720,mint,amint7,amint14,amint28,amint60,amint90,amint180,amint360,amint720,dist_cfa,dist_camp,ws,aws_m0,aws_m1,aws_m3,aws_m6,aws_m12,aws_m24,dist_road
1,141.13000166666666,-37.129999999999995,2019-10-01,41,Eucalypt Medium Woodland,Native forest,1,2,1,0,5.08571428571429,2.81428571428571,1.97857142857143,2.30333333333333,1.25666666666667,0.935555555555556,1.36444444444444,1.30111111111111,3.8,18.0285714285714,17.0357142857143,19.3285714285714,20.3864406779661,22.5411764705882,20.791061452514,15.5515320334262,15.523504867872,21.3,22.3857142857143,21.4285714285714,20.7107142857143,24.0266666666667,27.0775,26.92,21.5538888888889,21.4775,9.6,9.04285714285714,9.92857142857143,8.41785714285714,11.1566666666667,11.9666666666667,11.9677777777778,9.13055555555556,8.85486111111111,9442.29274293277,50966.609633484135,2.8270833333333334,5.9164061742223915,5.724934155416894,5.472173013280625,4.79801389690852,5.6931835840362135,5.772960467420566,498.75145100300506
2,141.3,-37.65,2019-10-01,41,Eucalypt Medium Woodland,Native forest,1,2,1,0,2.4,1.74285714285714,1.53571428571429,1.79666666666667,1.015,0.844444444444444,1.52555555555556,1.52138888888889,4.6,18.5,17.4428571428571,18.475,19.9915254237288,21.9319327731092,19.9396648044693,14.8325905292479,14.7504867872045,17.8,20.4428571428571,19.7285714285714,19.1,22.28,25.7766666666667,25.9272222222222,20.7977777777778,20.5722222222222,9,7.97142857142857,9.23571428571429,7.56071428571429,9.90333333333333,10.8125,11.0105555555556,8.45972222222222,8.26625,6323.149307109706,6592.910078146276,2.8270833333333334,5.9164061742223915,5.724934155416894,5.472173013280625,4.79801389690852,5.6931835840362135,5.772960467420566,102.22032155950882
3,141.48,-37.35,2019-10-02,91,Hardwood plantation,Commercial plantation,4,4,1,15.4,2.4,1.8,1.53571428571429,1.79666666666667,1.015,0.844444444444444,1.52555555555556,1.52138888888889,14.2,21.4142857142857,18.0357142857143,19.3392857142857,20.3949152542373,22.0436974789916,19.9938547486034,14.8788300835655,14.7742698191933,15.4,22.2142857142857,19.8642857142857,19.1892857142857,22.3866666666667,25.8983333333333,25.985,20.8133333333333,20.5769444444444,7.3,9.17142857142857,9.42142857142857,7.35357142857143,9.97166666666667,10.8783333333333,11.02,8.44833333333333,8.25402777777778,7958.231718852048,31768.41002716151,3.2583333333333333,5.9164061742223915,5.724934155416894,5.472173013280625,4.79801389690852,5.702007097283509,5.780513285295683,1217.2244595473974
4,147.16,-37.85,2019-10-02,44,Eucalypt Medium Open,Native forest,2,2,1,4.8,0.714285714285714,1.67142857142857,3.78571428571429,4,2.96,2.35888888888889,1.72722222222222,1.71111111111111,23.7,23.0857142857143,19.1714285714286,18.2357142857143,19.9084745762712,20.5932773109244,19.1100558659218,14.6927576601671,14.5346314325452,20.8,24.2142857142857,21.8,19.75,22.9316666666667,24.9366666666667,24.8405555555556,20.2197222222222,20.1315277777778,7.7,10.3285714285714,10.0071428571429,8.67142857142857,10.9716666666667,12.49,12.4194444444444,9.58861111111111,9.67486111111111,7790.867469987539,8816.533511789841,12.13448275862069,11.203721862820052,11.698794093698245,12.048494076363172,11.481664365915595,11.286328614574076,11.366420662623453,281.69151138800396
5,148.1050025,-37.57999,2019-10-02,0,Non forest,Non forest,6,6,0,6,0.857142857142857,1.57142857142857,1.9,2.53333333333333,2.17833333333333,1.78666666666667,1.47166666666667,1.53944444444444,23.8,23.1142857142857,18.4571428571429,16.8607142857143,19.2677966101695,20.0453781512605,18.6675977653631,14.4431754874652,14.3265646731572,19.8,23.1428571428571,20.8928571428571,19.0571428571429,22.12,23.9375,23.9538888888889,19.9938888888889,20.03875,8.3,11.2,10.9,9.575,11.975,13.4616666666667,13.425,10.4563888888889,10.5170833333333,10692.454062760737,15341.530819464717,9.439583333333333,8.830913459637795,9.009289233845971,8.296187147884652,7.5831833240316415,8.274072603686866,8.378203705623724,215.5617583081435
6,147.16,-37.84,2019-10-02,44,Eucalypt Medium Open,Native forest,2,2,1,4.8,0.714285714285714,1.67142857142857,3.78571428571429,4,2.96,2.35888888888889,1.72722222222222,1.71111111111111,23.7,23.0857142857143,19.1714285714286,18.2357142857143,19.9084745762712,20.5932773109244,19.1100558659218,14.6927576601671,14.5346314325452,20.8,24.2142857142857,21.8,19.75,22.9316666666667,24.9366666666667,24.8405555555556,20.2197222222222,20.1315277777778,7.7,10.3285714285714,10.0071428571429,8.67142857142857,10.9716666666667,12.49,12.4194444444444,9.58861111111111,9.67486111111111,8857.320138783769,7859.636292528275,12.13448275862069,11.203721862820052,11.698794093698245,12.048494076363172,11.481664365915595,11.286328614574076,11.366420662623453,123.68970659866795
7,144.17999,-38.35,2019-10-02,44,Eucalypt Medium Open,Native forest,2,2,1,11.6,1.65714285714286,1.84285714285714,1.46428571428571,1.96,1.175,1.00555555555556,1.33777777777778,1.47833333333333,16.8,22.0142857142857,18.6285714285714,19.375,20.4491525423729,21.809243697479,19.8106145251397,14.7554317548747,14.540611961057,15.8,21.6714285714286,19.5785714285714,18.8857142857143,21.0316666666667,23.1641666666667,23.3433333333333,19.5055555555556,19.65,8.3,10.6142857142857,10.75,10.0607142857143,12.3183333333333,13.6383333333333,13.6955555555556,11.0386111111111,10.9654166666667,6054.079941603113,9420.550735131668,9.34375,11.703205049893041,11.118892026164458,11.86622675793127,11.264414355700625,11.708858633140698,11.749180631360959,149.11549443418568
8,143.58,-36.15,2019-10-02,0,Non forest,Non forest,6,6,0,11.6,1.65714285714286,1.04285714285714,0.692857142857143,0.91,0.56,0.421111111111111,0.626666666666667,0.91,18,21.8857142857143,20.9857142857143,22.0464285714286,22.3050847457627,23.8428571428571,22.2167597765363,16.8298050139276,16.8709318497914,19.5,26.3857142857143,25.75,24.6857142857143,27.7183333333333,30.8983333333333,30.2888888888889,24.0697222222222,23.8154166666667,6.1,8.42857142857143,8.77857142857143,7.44285714285714,11.2383333333333,13.3375,13.11,8.83333333333333,9.04222222222222,13835.032566992946,30754.59622920231,4.552083333333333,6.3523907281307865,6.107295142814547,6.111430631204389,5.6367851937173885,6.464927710673637,6.507558785603844,239.96871143436272
9,143.14249999999998,-37.2824975,2019-10-03,102,Other forest ? unallocated type,Other forest,5,5,1,0.6,2.22857142857143,2.22857142857143,1.44285714285714,2.19333333333333,1.23666666666667,1.10222222222222,1.35666666666667,1.63972222222222,12.9,21.2,20.0571428571429,20.9428571428571,21.7610169491525,23.3613445378151,21.5,15.6568245125348,15.4271210013908,12.6,20.2428571428571,17.1785714285714,16.4214285714286,19.825,23.4191666666667,23.0766666666667,16.9463888888889,16.8677777777778,5.9,10.8285714285714,8.25,6.39642857142857,9.75666666666667,11.6758333333333,11.3261111111111,7.735,7.63,1745.5938720462336,6306.424291634714,13.967708333333334,11.703205049893041,11.118892026164458,11.86622675793127,11.264414355700625,11.724843398435045,11.763391557813812,1170.399640747562
10,141.14999999999998,-36.54,2019-10-03,0,Non forest,Non forest,6,6,0,0.2,0.942857142857143,3.44285714285714,1.9,1.83,1.005,0.71,0.918333333333333,0.9675,14.7,21.8142857142857,20.9571428571429,21.9785714285714,21.6983050847458,22.7689075630252,21.1854748603352,16.2682451253482,16.3927677329624,18.8,26.2,23.9785714285714,23.0571428571429,25.94,29.1816666666667,28.74,22.8705555555556,22.7879166666667,7.4,10.6571428571429,9.71428571428571,8.05714285714286,11.3383333333333,12.775,12.565,9.09777777777778,8.99333333333333,19430.140080510544,77184.75178275116,5.382,8.640599282703123,7.984586261192511,7.395230997690681,7.001257587090195,8.217841076908467,8.309484118723578,540.2378150259324
